client_id,certificate_id,expiry_date,days_until_expiry
1,72c7b0e3-adc3-488b-85af-db3ff261d3e1,2037-07-14,4401.0
2,23051c36-c9a5-4aad-9366-57ce9d6475aa,2027-09-15,811.0
2,d2b114f1-2ca4-49ef-96e8-8448b2b43fcf,2027-11-03,860.0
2,76343b48-46c5-47eb-8bc7-4251cb52b685,2028-10-30,1222.0
2,66293de9-3186-4516-85bd-af87c51b1e89,2029-01-28,1312.0
2,934a2509-b605-48cf-be49-6483edad2e2b,2030-07-20,1850.0
2,41e216f5-5819-4227-85bc-c2e64e2ad7cc,2031-02-25,2070.0
2,40124a6c-2641-4764-9535-22362ae23027,2034-05-10,3240.0
2,24c7d26d-f786-465a-a84f-3c02b62ee416,2038-02-16,4618.0
2,1423618c-ee41-4099-814b-c2bf3ad0e26c,2042-09-16,6291.0
3,e777b777-a805-40c3-af36-04860f5c9013,2025-09-05,71.0
3,3cbdf04a-053f-41d7-8a8e-93057f69b652,2026-05-01,309.0
3,457f77a2-53d7-46bb-8bb3-c94c07160748,2026-05-28,336.0
3,326076e4-a9c5-4f60-a84c-82609ed05f5c,2026-06-17,356.0
3,6bb1cc94-c3cd-4f00-90d4-32b7c3e7e4a1,2026-12-01,523.0
3,574bdf79-75fa-4ad4-a010-7a80b4c2eb95,2027-01-09,562.0
3,85571599-b036-42fa-aa46-71a24ade57bb,2027-06-07,711.0
3,3f00e0ba-b1ef-412e-9b9f-03ef9fb9e6cf,2028-01-29,947.0
3,ea829f2b-4142-481d-8ab8-856d371f405f,2028-09-17,1179.0
3,faf83da9-664e-47b0-bda1-9b41ace05ef2,2028-12-30,1283.0
3,f1ba87ae-85b1-4dbc-93c8-97dfde2008b2,2030-03-06,1714.0
3,a499923e-a84f-4b78-9f31-b1058a223c27,2031-09-08,2265.0
3,c891c030-0d20-461b-9d42-c9982c9ac81d,2032-02-25,2435.0
3,cbe8d79f-8670-4a60-b6a5-c2582f8a448f,2032-04-15,2485.0
